sample,time,s,sDot,sDDot,sDDDot,arcLength,tcpSpeed,px,py,pz,qw,qx,qy,qz,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,positionError,orientationError,ikIterations
29,1.450000000000,0.225000000000,0.200000000000,0.000000000000,0.000000000000,0.112500000000,0.100000000000,-0.309462121751,-0.451955508345,0.234227540927,0.299043932453,0.568048292286,-0.093818003841,0.760980976273,0.634365854208,-0.937763923503,1.346123099613,0.336990505365,-0.520007288718,0.684705991691,0.113817127790,-0.109016667650,0.220299377896,0.028026554230,0.009891272341,-0.114340391625,7.935023810373e-05,6.867784672422e-05,7
30,1.500000000000,0.235000000000,0.200000000000,0.000000000000,0.000000000000,0.117500000000,0.100000000000,-0.304462121751,-0.451955508345,0.234227540927,0.297688263395,0.567163869740,-0.093163572108,0.762251527732,0.640094291569,-0.943159385838,1.357050822169,0.338476414079,-0.519498870111,0.678923304128,0.115330169233,-0.106803357585,0.216833742925,0.031414055885,0.010440290333,-0.116998780174,7.935645068921e-05,6.868232446730e-05,7
31,1.550000000000,0.245000000000,0.200000000000,0.000000000000,0.000000000000,0.122500000000,0.100000000000,-0.299462121751,-0.451955508345,0.234227540927,0.296331206329,0.566276802722,-0.092508705989,0.763518525100,0.645898871131,-0.948444259262,1.367806473905,0.340131910954,-0.518963259685,0.673006113674,0.116862812447,-0.104592156710,0.213415079791,0.034811054317,0.010978442954,-0.119721017130,7.936249229208e-05,6.868696032115e-05,7
32,1.600000000000,0.255000000000,0.200000000000,0.000000000000,0.000000000000,0.127500000000,0.100000000000,-0.294462121751,-0.451955508345,0.234227540927,0.294972767582,0.565387095368,-0.091853408536,0.764781962468,0.651780572814,-0.953618601509,1.378392330148,0.341957519511,-0.518401025816,0.666951202415,0.118415040719,-0.102381207867,0.210040559814,0.038219429017,0.011504701584,-0.122508102743,7.936837041393e-05,6.869176071871e-05,7
33,1.650000000000,0.265000000000,0.200000000000,0.000000000000,0.000000000000,0.132500000000,0.100000000000,-0.289462121751,-0.451955508345,0.234227540927,0.293612953488,0.564494751827,-0.091197682805,0.766041833945,0.657740375203,-0.958682380049,1.388810529887,0.343953853855,-0.517812789526,0.660755303400,0.119986816751,-0.100168755535,0.206707551738,0.041640924955,0.012017988363,-0.125360994679,7.937409186053e-05,6.869674178671e-05,7
34,1.700000000000,0.275000000000,0.200000000000,0.000000000000,0.000000000000,0.137500000000,0.100000000000,-0.284462121751,-0.451955508345,0.234227540927,0.292251770388,0.563599776259,-0.090541531854,0.767298133658,0.663779254489,-0.963635477063,1.399063085322,0.346121612006,-0.517199226979,0.654415102947,0.121578081427,-0.097953142184,0.203413609592,0.045077154103,0.012517174973,-0.128280600708,7.937966278917e-05,6.870189378984e-05,7
35,1.750000000000,0.285000000000,0.200000000000,0.000000000000,0.000000000000,0.142500000000,0.100000000000,-0.279462121751,-0.451955508345,0.234227540927,0.290889224627,0.562702172838,-0.089884958742,0.768550855748,0.669898183346,-0.968477694267,1.409151890846,0.348461569266,-0.516561072029,0.647927243329,0.123188752547,-0.095732805430,0.200156461806,0.048529595891,0.013001081508,-0.131267770768,7.938508875297e-05,6.870725547066e-05,7
36,1.800000000000,0.295000000000,0.200000000000,0.000000000000,0.000000000000,0.147500000000,0.100000000000,-0.274462121751,-0.451955508345,0.234227540927,0.289525322559,0.561801945748,-0.089227966530,0.769799994375,0.676098129744,-0.973208757606,1.419078731503,0.350974571595,-0.515899118829,0.641288325870,0.124818723524,-0.093506275933,0.196934001411,0.051999596676,0.013468475445,-0.134323288364,7.939037473845e-05,6.871279446520e-05,7
37,1.850000000000,0.305000000000,0.200000000000,0.000000000000,0.000000000000,0.152500000000,0.100000000000,-0.269462121751,-0.451955508345,0.234227540927,0.288160070544,0.560899099187,-0.088570558282,0.771045543714,0.682380055698,-0.977828321860,1.428845290987,0.353661528933,-0.515214224485,0.634494914492,0.126467862047,-0.091272175988,0.193744277208,0.055488368257,0.013918070730,-0.137447861278,7.939552519914e-05,6.871853981155e-05,7
38,1.900000000000,0.315000000000,0.200000000000,0.000000000000,0.000000000000,0.157500000000,0.100000000000,-0.264462121751,-0.451955508345,0.234227540927,0.286793474947,0.559993637365,-0.087912737062,0.772287497958,0.688744915948,-0.982335975204,1.438453159224,0.356523408421,-0.514507311756,0.627543539742,0.128136008715,-0.089029218755,0.190585485776,0.058996985471,0.014348527007,-0.140642111553,7.940054408475e-05,6.872449145797e-05,7
